expression,accords,reasoning,latency_sec,error
호불호가 적었으면 함,fresh,"‘호불호가 적다’는 평가처럼 향의 성격을 직접적으로 묘사하지 않지만, 무난하고 거부감이 적은 인상에 가장 일반적으로 대응되는 쪽이 ‘fresh’입니다.",1.399,
출근이나 데이트 등 상황 가리지 않고 사용,,"제시된 표현이 향의 구체적 이미지(예: 장미, 바닐라, 시트러스 등)가 아니라 상황(출근/데이트)을 말해 향과 무관합니다.",1.036,
세련되고 무난한 느낌,,"표현이 '세련되고 무난한 느낌'처럼 감성/평가 중심이라 향의 구체적 뉘앙스(예: 과일, 향신료, 플로럴 등)를 특정하기 어려워 목록 매칭이 불가능합니다.",1.317,
주변 사람들이 편하게 느끼는 분위기,,표현은 향의 구체적인 냄새/소재를 묘사하지 않고 ‘분위기’만 말해 향 accord와 매칭할 근거가 없습니다.,1.301,
한 병으로 계절 상관없이 사용,,표현이 '한 병으로 계절 상관없이 사용'이라 향의 특정한 냄새 특징(예: 꽃/과일/우디/스파이시)을 나타내지 않아 목록에서 대응할 accord를 고를 수 없습니다.,1.188,
너무 독특하거나 어렵지 않음,fresh|aromatic|citrus,"“너무 독특하거나 어렵지 않음”은 향의 구체적 재료를 지칭하진 않지만, 전반적으로 가볍고 친근한 느낌의 무난한 코멘트로 해석되어 fresh·aromatic·citrus 계열에서 가장 가깝다고 판단했습니다.",1.668,
깔끔하고 대중적,fresh|aromatic|soapy,"‘깔끔하고 대중적’은 대체로 가볍고 정돈된 산뜻함이라서 fresh 쪽이 가장 가깝고, 이런 느낌은 aromatic/soapy 뉘앙스로도 함께 매칭됩니다.",1.311,
전문적이고 세련된 분위기,,"‘전문적이고 세련된 분위기’는 향의 특정 노트(예: floral, woody, aromatic 등)로 매칭되지 않는 추상적 표현이라 목록의 어느 accord에도 확신 있게 대응하기 어렵습니다.",1.023,
여성스러운 향,floral|powdery,‘여성스러운 향’은 보통 플로럴 계열(혹은 분말감 같은 부드러운 질감)로 연상되어 가장 가깝게 매칭했습니다.,1.334,
크림 같은 꽃향,floral|milky|powdery,"‘꽃향’이 핵심이라 floral, ‘크림 같은’ 뉘앙스는 milky, 마무리의 분유/파우더 같은 질감은 powdery로 가장 가깝습니다.",1.131,
포근한 깨끗함,fresh|soapy|powdery,포근하고 깨끗한 이미지는 공기감 있는 신선함과 함께 비누/파우더리한 청결감으로 가장 가깝습니다.,1.41,
바다 근처에 온 것처럼 상쾌한 향,aquatic|fresh|marine,바다 근처의 상쾌함은 물 느낌의 수중/해양(아쿠아틱·마린)과 신선함(프레시)으로 가장 가깝습니다.,0.985,
한여름에도 답답하지 않음,fresh|aquatic,‘답답하지 않음/한여름’의 뉘앙스는 시원하고 가벼운 느낌의 fresh 계열과 함께 aquatic(상쾌한 바다/공기감) 쪽이 가장 가깝습니다.,1.572,
깔끔하고 현대적인 분위기,fresh|aromatic|citrus,‘깔끔하고 현대적인 분위기’는 공기감 있는 산뜻함과 가벼운 시트러스/아로마 뉘앙스에 가장 가깝습니다.,1.248,
시원한 여름 데일리,fresh|aquatic|citrus,"‘시원한 여름 데일리’는 전반적으로 청량감의 fresh 무드가 가장 가깝고, 여름 느낌상 aquatic와 citrus 쪽 연상이 함께 강합니다.",1.012,
짠 바닷바람 같은 느낌,aquatic|salty|marine,바닷바람의 ‘바다 느낌’은 aquatic·marine 계열이고 ‘짠’은 salty로 가장 가깝습니다.,1.457,
맑은 공기 같은 느낌,fresh|aquatic|ozonic,"“맑은 공기”는 깨끗하고 상쾌한 느낌이라 fresh, 공기/청량감에 가까운 ozonic, 약간의 투명한 느낌으로 aquatic을 우선으로 매칭했습니다.",1.367,
집에서 쉬는 날 어울리는 편안한 향,fresh|aromatic|lavender,"‘편안한’ 느낌의 집에서 쉬는 날에 가장 흔히 매칭되는 쪽이 깔끔한 신선함(fresh)과 아로마틱한 편안한 허브/클린 계열(aromatic), 그리고 라벤더(lavender)처럼 휴식 연상 향입니다.",1.437,
처음에는 상쾌하게,fresh|aromatic|citrus,"“상쾌하게”라는 표현은 가장 먼저 신선한(fresh) 느낌을 떠올리게 하고, 보통 상쾌함은 시트러스(citrus)나 아로마틱(aromatic) 계열의 인상으로도 연결됩니다.",1.103,
시간이 지나면 따뜻하고 부드럽게,warm spicy,"표현이 시간 경과 후 따뜻하고 부드럽게 느껴진다는 뉘앙스로, 따뜻한 스파이시 계열의 워밍 톤에 가장 가깝습니다.",1.657,
깔끔한 생활용품 같은 친숙한 향,soapy|fresh|powdery,"‘깔끔한 생활용품’의 느낌은 보통 비누/세정제 같은 청결감(soapy)과 상쾌함(fresh), 분말 같은 뽀송함(powdery)에 가깝습니다.",1.108,
씻고 나온 듯 산뜻함,fresh|soapy,‘씻고 나온 듯 산뜻함’은 목욕 후의 깨끗한 느낌을 연상시켜 fresh와 soapy가 가장 가깝습니다.,0.925,
뒤에는 포근한 온기,amber|warm spicy|vanilla,"“포근한 온기”는 따뜻하고 편안한 느낌을 주는 앰버 계열로 먼저 해석되고, 이어서 포근함을 강조하는 warm spicy와 단맛/바닐라 톤이 가장 가깝습니다.",1.363,
성숙한 남자가 쓰기 좋은,,제시된 표현은 향의 구체적 노트(냄새/질감)와 무관한 '성숙한 남자용'이라는 구매/대상 설명이라 accord로 매칭할 수 없습니다.,0.938,
어두운 향,,"표현 '어두운 향'은 향의 구체적 성격(예: 앰버, 흙내, 스모키 등)을 특정하지 않아 accord와의 매칭이 불가능합니다.",1.031,
향신료와 허브가 복잡하게 섞인 느낌,herbal|aromatic|spice,"향신료·허브의 복합적인 인상을 허브(herbal), 전반적인 향기(aromatic), 그리고 향신료(spice) 계열로 가장 가깝게 분류했습니다.",1.134,
시원한 물 느낌,aquatic|marine|fresh,‘시원한 물 느낌’은 물을 연상시키는 수생/바닷물 계열과 함께 전반적인 상쾌함에 가장 가깝습니다.,0.862,
밝은 바다 향보다 깊고 묵직한 향,aquatic|marine|woody,"‘바다’의 이미지가 중심이라 aquatic/ marine 쪽이 가장 가깝고, ‘깊고 묵직한 향’의 무게감은 woody로 함께 해석된다.",0.981,
매콤한 향신료 향,spice|soft spicy,"‘매콤한 향신료’는 향신료 계열의 자극적인(매운) 느낌이라 spice가 가장 가깝고, 표현이 과하게 강렬하다고 단정할 수 없어 soft spicy를 함께 후보로 듭니다.",0.97,
풀 향,,‘풀 향’은 특정 향 계열을 한정할 수 있는 구체적 표현(예: grass/green/woody 등)이 아니라서 accord 목록 중 가장 가까운 항목을 확신 있게 고르기 어렵습니다.,1.151,
어두운 물가 같은 분위기,,"‘어두운 물가’는 향료의 구체적 향(예: aquatic, woody, smoky 등)과 직접 대응되는 표현이 아니어서 확신 있게 분류할 수 없습니다.",2.677,
고소한 아몬드 우유 같은 부드러운 향,almond|milky|nutty,"아몬드 우유의 ‘아몬드’는 Almond에 가장 가깝고, ‘우유 같은 부드러운’ 뉘앙스는 Milky, 고소함은 Nutty로 추가 판단했습니다.",1.151,
살결에 자연스럽게 붙는 듯,,"주어진 표현은 향의 구체적 특성(예: 꽃/머스크/파우더리 등)이 아니라 ‘피부에 자연스럽게 붙는 느낌’으로, 목록의 특정 향 accord로 매칭하기 어렵습니다.",1.402,
포근하고 관능적인 느낌,amber|musky|warm spicy,"포근하고 관능적인 이미지는 보통 앰버의 따뜻함과 무스키한 성적 분위기, 그리고 은은한 웜 스파이스 계열의 온기로 연결됩니다.",1.072,
매일 부담 없이 사용,fresh,‘매일 부담 없이 사용’은 일상적으로 가볍게 쓰는 느낌의 무게감 없는 인상이라 신선한(fresh) 뉘앙스에 가장 가깝습니다.,0.987,
아주 은은한 향,,‘아주 은은한 향’은 향의 성격(예: 과일/머스크/바닐라 등)이 아니라 강도/세기만 표현해서 accord로 매칭할 수 없습니다.,1.013,
부드럽고 단정한 느낌,fresh|aromatic,‘부드럽고 단정한 느낌’은 자극적이지 않은 산뜻함/깔끔한 인상을 주어 fresh와 aromatic 계열로 가장 가깝습니다.,1.086,
남들과 조금 다른 느낌,,‘남들과 조금 다른 느낌’은 향의 구체적 특징(냄새 계열/원료/질감)을 특정하지 못해 해당 accord로 매칭할 수 없습니다.,1.561,
가까이에서만 살짝 느껴지는 조용한 향,,"표현이 ‘조용하고 가볍게 느껴지는’ 정도의 분위기 묘사라 특정 향 성격(예: floral, fresh, woody 등)이 없어 목록 중 가장 가까운 accord를 확정할 수 없습니다.",1.129,
깨끗하고 우아한 분위기,fresh|aromatic|floral,"“깨끗하고 우아한 분위기”는 청결한 인상( fresh )과 은은한 향의 느낌( aromatic ), 그리고 우아함을 떠올리게 하는 꽃 계열( floral )과 가장 가깝습니다.",1.498,
복잡하지 않은 분위기,aromatic|fresh|woody,"‘복잡하지 않은 분위기’는 전반적으로 산뜻하고 가벼운 느낌에 해당해 aromatic과 fresh 계열을 우선으로 보고, 잔잔한 분위기를 보강하는 쪽으로 woody를 추가했습니다.",1.022,
향수 뿌린 티가 많이 나지 않음,fresh|aromatic|powdery,"‘향수 뿌린 티가 많이 나지 않음’은 강한 향보다는 은은하고 가벼운 인상을 뜻해, 전체적으로 fresh와 aromatic 계열이 가장 가깝고 약간의 powdery한 여운도 함께 떠올라서입니다.",1.113,
가볍고 섬세한 느낌,fresh|floral|powdery,"‘가볍고 섬세한 느낌’은 대체로 가벼운 청량감에 해당하는 fresh, 그 다음으로 섬세한 이미지의 floral, 잔잔하게 마무리되는 powdery 쪽이 가장 가깝습니다.",1.286,
차분한 느낌,fresh,‘차분한 느낌’은 대체로 자극적이지 않은 상쾌함/청량감과 연결되어 ‘fresh’에 가장 가깝습니다.,0.975,
차 마실 때 나는 은은한 향처럼 자연스러운 향,fresh|herbal|aromatic,차의 은은하고 자연스러운 향은 뚜렷한 단맛보다는 신선하고 식물적인(허브/아로마틱) 인상으로 가장 가깝습니다.,1.204,
상쾌하게 시작,fresh,“상쾌하게 시작”은 향의 첫인상을 신선하고 가벼운 느낌으로 설명하는 표현이라 ‘fresh’에 가장 가깝습니다.,1.415,
너무 달거나 무겁지 않게,sweet|bitter,‘너무 달거나 무겁지 않게’라는 표현은 단맛을 과하지 않게 하고 쓴 느낌의 밸런스를 원한다는 뉘앙스라서 sweet와 bitter가 가장 가깝습니다.,1.129,
찻잎 느낌이 선명한 향,aromatic,‘찻잎’에서 느껴지는 선명한 차 특유의 향은 목록의 ‘aromatic(방향/허브류의 차 향 같은 결)’에 가장 가깝습니다.,1.048,
산뜻하면서 차분하고 깔끔한 분위기,fresh|aromatic|floral,"‘산뜻하고 차분하며 깔끔한’ 느낌은 전반적으로 Fresh 계열이 가장 가깝고, 깔끔함/정돈된 뉘앙스는 aromatic, 차분한 분위기는 floral 쪽과도 연관됩니다.",1.298,
편하게 입는 날 쓰기 좋음,,해당 표현은 '편하게 입는 날'처럼 상황/용도 설명이며 향의 구체적인 아코드(향 느낌)와 무관합니다.,1.034,
쌀의 포근함과 말차의 쌉싸름함이 자연스럽게 섞임,bitter|earthy,"말차의 특징인 쌉싸름함은 'bitter', 전체적으로 곡물·차의 흙내/곡물 느낌이 함께 묻는다면 'earthy'에 가장 가깝습니다.",1.065,
고소한 향,nutty|almond,"“고소한 향”은 견과류의 고소함을 가장 먼저 떠올리게 하고, 그중에서도 아몬드 뉘앙스가 함께 연상되어 nutty와 almond를 순서대로 선택했습니다.",1.151,
달콤하기만 한 향은 싫음,bitter|sour|spice,“달콤하기만 한 향은 싫음”이라는 표현이 단맛이 지배적이지 않은 쪽(쓴맛/신맛/스파이스 계열)을 선호한다는 의미로 해석되어 가장 가까운 accord들로 매칭했습니다.,1.195,
매콤한 향 선호,fresh spicy|soft spicy|spice,"‘매콤한 향’은 일반적으로 스파이시 계열로, 그중 가장 직접적으로는 fresh spicy와 soft spicy에 가깝고 마지막으로 spice로 확장됩니다.",1.156,
묵직한 향 선호,amber|woody,‘묵직한 향’은 일반적으로 진하고 무게감 있는 앰버/우디 계열의 인상과 가장 가깝습니다.,1.207,
성숙하고 진한 분위기,amber|musky|warm spicy,"“성숙하고 진한 분위기”는 깊고 농후한 느낌에 가장 가깝게 amber(앰버), 이어서 짙은 잔향의 musky(머스키), 그리고 성숙한 웜스파이시 뉘앙스가 나타날 수 있어 warm spicy를 함께 선택했습니다.",1.758,
이국적인 느낌,,"표현이 너무 추상적(이국적인 느낌)이라 향의 구체적인 소재/노트(예: citrus, floral, woody 등)를 특정할 수 없어 목록 중 가장 가까운 accord를 고르기 어렵습니다.",1.177,
따뜻한 향신료가 중심,warm spicy|spice|soft spicy,"“따뜻한 향신료”의 직접적인 뉘앙스가 가장 강하게 “warm spicy”로 이어지고, 이어서 전반적 범주의 “spice”, 부드러운 버전의 “soft spicy”까지 좁혀집니다.",1.195,
오래된 영화 같은 분위기,aldehydic|powdery,“오래된 영화 같은 분위기”는 레트로·빈티지한 공기감을 연상시키는 알데하이드 계열의 무드와 오래된 소품에서 느껴지는 분말감(파우더리)을 가장 가깝게 떠올릴 수 있습니다.,1.55,
한 번 맡으면 기억에 남는 진한 향,,"특정 향의 종류(예: 달콤함, 꽃, 우디 등)가 아니라 ‘진한 향’에 대한 일반적인 표현이라 목록의 accord로 매칭하기 어렵습니다.",1.373,
강렬한 가죽 향,leather,‘가죽 향’이 직접적으로 가장 가까운 향 표현이므로 leather로 분류했습니다.,1.135,
연기와 향신료가 섞인,smoky|spice|fresh spicy,"연기(탄 연기/스모키 느낌)와 향신료(스파이스) 성격이 직접적으로 드러나며, 전체적으로 신선한 매운 향의 뉘앙스가 있어 fresh spicy를 함께 선택했습니다.",1.201,
어둡고 신비로운 느낌,,"‘어둡고 신비로운 느낌’은 향의 구체적 원료/노트(예: amber, woody, smoky 등) 없이 감성만 묘사한 표현이라 목록의 특정 accord로 매칭하기 어렵습니다.",1.114,
남녀 모두 사용 가능하지만 남성적인 쪽에 가까운 향,,주어진 표현은 남성적인 성향(성별/이미지)만 설명하고 구체적인 향의 소재나 노트를 지칭하지 않아 향과 무관합니다.,0.92,
가죽 향,leather|woody,"“가죽 향”은 향료에서 가장 직접적으로 “leather(가죽)”로 대응되며, 가죽 계열이 종종 우디한 느낌을 동반해 “woody”를 2순위로 판단했습니다.",1.136,
매콤한 향,spice|fresh spicy|soft spicy,"‘매콤한 향’은 향의 성격을 ‘spice/매운 향’으로 보는 표현이라 spice가 가장 가깝고, 그 다음으로 fresh spicy 또는 soft spicy처럼 매운 뉘앙스로 확장해볼 수 있습니다.",1.091,
짙은 연기 느낌,smoky,‘짙은 연기 느낌’은 연기/연기 자욱한 뉘앙스를 직접적으로 나타내므로 ‘smoky’가 가장 가깝습니다.,0.921,
bright and feminine floral scent,floral|white floral,"표현이 ‘floral(꽃향)’을 직접적으로 말하며, ‘feminine(여성스러운)’ 뉘앙스 때문에 white floral 쪽과도 가장 가깝습니다.",1.366,
sunlight-like warmth,warm spicy|fresh,"‘햇빛 같은 따뜻함’은 따뜻한 인상을 주는 따뜻한 스파이시와 가장 가깝고, 동시에 맑은 햇빛 뉘앙스의 신선함도 함께 연상됩니다.",1.031,
air-like light feel,fresh|ozonic|soapy,"표현이 ‘가볍고 공기 같은’ 느낌이라 신선한 느낌(fresh)과 공기감/오존 느낌(ozonic), 그리고 가벼운 청량함에 해당하는 비누 같은 느낌(soapy)을 가장 가깝게 판단했습니다.",1.184,
고급스러운 느낌,,“고급스러운 느낌”은 향의 구체적 성격(예: 꽃/우디/스파이시 등)이 아니라 주관적 이미지 표현이라 매칭할 accord가 없습니다.,0.996,
어렵지 않은 꽃향,floral,‘꽃향’으로 직접적으로 식별되는 향 계열이라 가장 가까운 것은 floral입니다.,0.99,
노란 꽃의 부드러운 달콤함,yellow floral|floral|sweet,"‘노란 꽃’은 accord에서 직접적으로 ‘yellow floral’에 해당하며, ‘부드러운 달콤함’은 floral의 뉘앙스와 ‘sweet’로도 같이 이어집니다.",1.105,
맑고 화사한 분위기,fresh|floral,‘맑고 화사한 분위기’는 가볍고 청량한 느낌의 fresh와 꽃향의 화사함을 함께 떠올리게 해 가장 가깝습니다.,0.973,
사람들이 편하게 좋아할 만한 향,fresh|aromatic|floral,"‘사람들이 편하게 좋아할 만한 향’은 부담 없는 무난한 이미지를 떠올리게 해 신선함(fresh), 방향성 있는(aromatic) 느낌, 그리고 대중적인 꽃 향(floraI) 쪽이 가장 가깝습니다.",1.694,
밝은 꽃향,floral|white floral,"‘밝은 꽃향’은 꽃 향의 뉘앙스라서 floral에 가장 가깝고, 밝고 깨끗한 이미지가 ‘white floral’과도 부합합니다.",1.393,
꽃향이 풍성함,floral,‘꽃향이 풍성함’은 직접적으로 꽃의 풍성한 느낌을 뜻하므로 가장 가까운 accord는 floral입니다.,0.943,
답답하지 않음,,"‘답답하지 않음’은 향의 특정한 소재/노트(예: 시트러스, 프레시 등)로 대응되지 않는 감정·상태 표현이라 가장 가까운 accord로 확정할 수 없습니다.",1.069,
산뜻함,fresh,‘산뜻함’은 전반적으로 가볍고 상쾌한 느낌의 ‘fresh’ 계열로 가장 가깝습니다.,0.888,
차가운 날씨에 잘 어울리는,fresh|fresh spicy,차가운 날씨의 느낌은 대체로 상쾌하고( fresh ) 약간의 차가운 스파이스 무드로도 연결되어( fresh spicy ) 가장 가깝습니다.,1.126,
진한,,"표현이 '진한'으로만 되어 있어 구체적인 향의 성격(예: floral, sweet, smoky 등)을 알 수 없어 accord로 매칭할 수 없습니다.",1.216,
인형처럼 매끈한,soapy,인형처럼 매끈한이라는 표현은 향의 ‘보송/파우더’보다는 피부에 닿는 듯한 매끈한 청결감의 인상이라 soapy에 가장 가깝습니다.,0.969,
달콤함,gourmand|sweet|caramel,"“달콤함”은 향에서 가장 직접적으로 “sweet”에 해당하고, 달콤한 디저트 계열 뉘앙스까지 함께 떠올라 gourmand, 추가로 카라멜 같은 달콤한 방향이 가장 가깝습니다.",1.426,
따뜻한 분위기,,"표현은 ‘따뜻한 분위기’로 추상적이며 향의 구체적 성분/노트(예: vanilla, amber, warm spicy 등)를 특정할 수 없어 accord에 매칭이 어렵습니다.",0.883,
어둡고 강렬한 향,amber|animalic|woody,"‘어둡고 강렬한’ 느낌은 보통 앰버 계열의 묵직함과 동물적(머스키) 깊이, 그리고 우디한 강한 잔향으로 가장 가깝습니다.",1.453,
한 번 맡으면 기억에 남는 향,,,1.006,"JSONDecodeError: Expecting ',' delimiter: line 1 column 26 (char 25)"
장미,rose|floral,"표현이 ‘장미’로 직접적으로 장미 향을 뜻하며, 꽃 계열 뉘앙스 때문에 floral도 함께 가깝습니다.",1.516,
흙내음 같은 깊은 향,earthy,‘흙내음’처럼 땅/흙에서 나는 느낌이므로 가장 가까운 accord는 earthy 입니다.,0.89,
밝고 무난한 향보다 밤에 어울리는 묵직한 향,amber|woody|musky,‘밤에 어울리는 묵직한 향’은 전형적으로 무겁고 따뜻한 앰버 계열과 우디/머스키 톤으로 연결됩니다.,1.331,
짙은 꽃향 분위기,floral|rose|white floral,"‘짙은 꽃향’은 꽃(플로럴) 계열로 가장 직접적이며, 꽃 중에서도 장미 같은 짙은 플로럴 뉘앙스를 2순위로, ‘짙은 꽃’의 인상이 비교적 밝은 플로럴(화이트 플로럴)로도 이어질 수 있어 3순위로 골랐습니다.",1.156,
축축한 흙 같은 분위기,earthy|mossy|clay,"축축한 흙 같은 분위기는 'earthy'와 가장 가깝고, 젖은 느낌은 'mossy'를, 흙/점토질 느낌은 'clay'를 함께 시사한다.",1.374,
mature scent,amber|musky,“mature scent”는 성숙한 분위기의 보통 앰버/머스키 계열 향을 가장 가깝게 시사합니다.,1.223,
date,,"표현이 'date'로, 향을 직접 묘사하는 과일/향계열 단어가 아니라(향과 무관) 매칭 가능한 accord가 없습니다.",1.322,
warm/cold night context,,"'warm/cold night context'는 온도·장면 설정에 해당하며 향의 구체적 노트(예: warm spicy, aromatic 등)를 나타내지 않아서 목록에서 매칭할 수 없습니다.",1.259,
want a strong liquor note,alcohol|rum|whiskey,"‘강한 리쿼(술) 노트’로 보아 일반적인 alcohol 계열이 가장 가깝고, 그 다음으로 리큐르류( rum )와 위스키( whiskey ) 뉘앙스가 이어집니다.",1.049,
want a grain-like nutty/roasted note if noticeable,nutty|earthy|coffee,"통에서 나는 곡물 같은 견과/로스팅 뉘앙스는 ‘nutty’가 가장 가깝고, 함께 느껴질 수 있는 로스팅/곡물 느낌은 ‘earthy’, 커피 같은 로스팅 어감을 ‘coffee’로 추가 추정했습니다.",1.628,
달콤하지만 어린 느낌은 없는 겨울 향,sweet|warm spicy|gourmand,"‘달콤하지만 어린 느낌은 없는 겨울 향’은 달콤함과 성숙한 겨울 무드로 인해 스위트 계열을 최우선으로 보고, 겨울에 흔한 따뜻한 스파이스와 디저트형 분위기(고메란티)로 연상됩니다.",1.431,
술기운,alcohol|rum|vodka,"표현 ‘술기운’은 막연한 술의 기운을 뜻하므로 가장 일반적인 alcohol부터, 그 다음으로 술 종류 뉘앙스가 강한 rum과 vodka를 순서대로 선택했습니다.",1.43,
엿기름 같은 구수함,balsamic|earthy|savory,"‘엿기름’의 구수하고 달큰한 곡물 느낌은 balsamic(구수한 단맛/시럽 뉘앙스)과 earthy(곡물·발효 기반의 흙내/구수함), 그리고 음식 같은 savory(구수한 풍미)에 가장 가깝습니다.",1.453,
깊고 부드러웠으면,amber|sweet|musky,‘깊고 부드러운’ 느낌은 대개 따뜻하고 부드러운 앰버 계열의 무게감과 함께 달콤함(sweet)·머스크(musky) 뉘앙스로 가장 가깝게 표현됩니다.,1.12,
학교나 회사에서 편하게 사용,,‘학교나 회사에서 편하게 사용’은 향의 성격(노트/무드)과 무관한 사용처·상황 표현이라 accord로 매칭할 수 없습니다.,0.963,
밝은 느낌,,"‘밝은 느낌’은 향의 구체적 성상(예: citrus, fresh, floral 등)이 없어 향 표현으로 특정할 수 없습니다.",0.868,
호불호 적게,,"“호불호 적게”는 향의 특정 노트(예: 꽃, 과일, 우디 등)를 가리키지 않는 사용/평가 표현이라 accord로 분류할 수 없습니다.",1.104,
너무 개성 강하지 않게,fresh|aromatic|soft spicy,"‘너무 개성 강하지 않게’는 튀지 않는 무난한 인상이라 산뜻하고( fresh ) 부담이 적은 향( aromatic, soft spicy ) 쪽으로 가장 가깝습니다.",1.055,
운동 후에도 부담 없이 뿌릴 수 있는,fresh|aromatic|soapy,"운동 후에도 부담 없이 뿌린다는 ‘산뜻함/가벼움’ 뉘앙스가 fresh에 가장 가깝고, 추가로 튀지 않게 퍼지는 aromatic과 비누 같은 청결감(soapy) 이미지를 함께 추정했습니다.",1.167,
산뜻한 향,fresh,“산뜻한 향”은 보통 가볍고 상쾌한 느낌의 프레시한(Fresh) 무드를 가리킵니다.,2.451,
더운 날 잘 어울리는,fresh,‘더운 날 잘 어울리는’은 특정 향 재료라기보다 날씨에 어울리는 시원하고 산뜻한 인상을 뜻하므로 ‘fresh’가 가장 가깝습니다.,0.997,
누구나 좋아할 느낌,,“누구나 좋아할 느낌”은 특정 향의 화학적/감각적 특징이 아니라 일반적인 호감 표현이라 향 accord로 분류할 근거가 없습니다.,0.892,
처음 쓰는 사람도 쉽게 사용할 수 있는,,표현은 향의 성격(노트/질감/분위기)이 아니라 ‘사용하기 쉬움’ 같은 마케팅 문구라 향과 무관합니다.,0.92,
깔끔하고 현대적인 느낌,fresh|aromatic,‘깔끔하고 현대적인 느낌’은 공기감 있는 신선함과 가벼운 향의 산뜻한 인상을 주는 표현이라 fresh와 aromatic에 가장 가깝습니다.,0.994,
열대 분위기 살짝,tropical|fruity,"“열대 분위기”는 목록의 “tropical”에 가장 가깝고, 열대적 뉘앙스는 종종 “fruity”와 함께 연상됩니다.",1.203,
mood: 차분하고 댄디한 느낌,amber|aromatic|fresh,"차분하고 댄디한 무드는 과하게 자극적이지 않은 따뜻한 앰버 톤과 깔끔한 아로마틱 향, 약간의 프레시한 인상이 함께 떠올라서입니다.",0.975,
향이 오래가길 원함,amber,"‘향이 오래가길 원함’은 지속력을 직접 묘사한 향 표현은 아니지만, 지속감과 잘 연결되는 앰버 계열이 가장 가깝다고 판단했습니다.",1.075,
향이 별로 안 강했으면 좋겠음,,"‘향이 별로 안 강했으면 좋겠음’은 농도/강도에 대한 선호로, 특정 향 조형(예: floral, woody 등) 표현이 아니어서 accord로 매칭할 수 없습니다.",1.049,
향에 민감해서 다른 향수 냄새를 맡으면 두통이 옴,,다른 향을 맡으면 두통이 온다는 내용은 향의 노트(냄새 성격)를 설명하지 않아 accord로 매칭할 수 없습니다.,0.906,
자연스러운 향이었으면 좋겠음,fresh|woody|earthy,"‘자연스러운 향’이라는 표현은 대체로 인위적이지 않은 자연 느낌을 뜻해 fresh, woody, earthy 계열이 가장 가깝습니다.",1.111,
너무 꾸민 티가 안 나게,,향의 특정한 소재/느낌과 직접 대응되지 않는 표현(‘너무 꾸민 티가 안 나게’)이라 향 accord로 분류할 수 없습니다.,1.142,
취준생 입장에서 부담스럽지 않은 가격대,,해당 표현은 가격/구매 적합성에 관한 내용이라 향의 관능적 특징(노트/질감/이미지)을 나타내지 않습니다.,1.027,
자연스럽고,,"표현 '자연스럽고'는 향의 구체적인 소재/노트(예: 꽃, 과일, 우디 등)를 지칭하지 않아 목록의 어떤 accord로도 정확히 매칭하기 어렵습니다.",0.955,
산뜻한 느낌,fresh,‘산뜻한 느낌’은 향의 청량하고 가벼운 인상인 fresh에 가장 가깝습니다.,1.069,
운동하고 뿌리기 좋음,,‘운동하고 뿌리기 좋음’은 향의 노트/특성을 설명하지 않는 사용 상황 표현이라 향과 무관합니다.,0.962,
비싸지 않은,,표현 ‘비싸지 않은’은 가격/수준을 말할 뿐 향의 관능(노트/무드)을 나타내지 않아 accord로 매칭할 수 없습니다.,1.005,
남자 향수,,표현이 ‘남자 향수’로 성별/용도만 말하며 향의 구체적 노트(향 표현)는 포함되어 있지 않아 분류할 수 없습니다.,1.068,
바디워시 느낌의 향,soapy,바디워시(샤워용 세정제)에서 느껴지는 비누/세정제 같은 뉘앙스로 가장 가까운 accord는 soapy 입니다.,0.986,
샤워하고 나온듯한 느낌,soapy|fresh,샤워 직후의 깨끗하고 상쾌한 느낌이라 비누/클린 계열(soapy)과 신선함(fresh)에 가장 가깝습니다.,1.132,
따뜻하고 포근한 느낌,warm spicy|amber,“따뜻하고 포근한 느낌”은 향에서 보통 따뜻한 스파이스/앰버 계열의 포근한 분위기와 가장 가깝습니다.,0.976,
샤워하고 나온 향기로운 냄새 같은 느낌을 선호,soapy|fresh,샤워 직후 나는 ‘향기로운 냄새’의 인상은 비누 같은 청결감(soapy)과 함께 전반적으로 산뜻함(fresh)에 가장 가깝습니다.,1.069,
무난한 향을 선호,,"표현이 특정 향미(예: 시트러스, 플로럴, 우디 등)가 아니라 ‘무난한 향을 선호’라는 선호 문구라 향 accord로 매칭할 수 없습니다.",1.034,
여름 향수 추천,,"“여름 향수 추천”은 특정 향의 소재/노트(예: 시트러스, 플로럴 등)를 지칭하지 않고 구매·추천 표현이라 향과 무관합니다.",1.154,
싸가지 없어 보이지만 능력이 좋아서 재수없는 와중에 내사람이 되면 따뜻하고 유머있게 변하는 사람,,"표현은 성격/관계 묘사로 향의 감각 요소(색, 맛, 재료, 날씨 등)가 없어 목록의 특정 향 accord로 매칭할 수 없습니다.",1.024,
따뜻하고 유머있는 분위기,warm spicy|soft spicy|sweet,"'따뜻하고 유머있는 분위기'는 직접 향을 특정하진 않지만, 보통 따뜻한 인상(따뜻함)과 부드럽고 달콤한 느낌(유머/경쾌함의 완화된 이미지)에 가장 가깝게 'warm spicy'와 'soft spicy', 그리고 'sweet' 쪽으로 추정됩니다.",1.526,
산뜻하고 가벼운 느낌,fresh,"“산뜻하고 가벼운 느낌”은 향을 가볍고 상쾌하게 느끼는 표현으로, 목록의 ‘fresh’가 가장 직접적으로 대응됩니다.",3.146,
