group,cell,cell_note,text,source,expect,lexicon_core_v1_17,matches_expect,note,pipeline_runs_with_results,pipeline_cores_3runs
깨끗한 계열,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,정갈한 밥상을 차려 주셨어,hand,막힘,,Y,,0/3,
깨끗한 계열,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,깨끗한 침구 사고 싶은데 추천 좀,hand,통과,fresh|soapy,Y,,3/3,fresh|powdery|soapy
깨끗한 계열,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,여름에 깔끔하게 입을 옷 뭐가 좋을까,hand,통과,aquatic|fresh,Y,,3/3,aquatic|fresh
깨끗한 계열,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,샤워하고 나면 깨끗한 기분이 들어,hand,통과,fresh|soapy,Y,,3/3,fresh|soapy
깨끗한 계열,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),깨끗한,hand,막힘,,Y,,,
깨끗한 계열,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),깔끔한 거 추천해줘,hand,막힘,,Y,,,
깨끗한 계열,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),정갈한 느낌으로,hand,막힘,,Y,,,
깨끗한 계열,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,시트러스 향처럼 시원하고 깔끔한 향,survey,통과,aquatic|citrus|fresh,Y,,,
깨끗한 계열,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,하얀 꽃 향이 진하면서 깨끗한 비누처럼 밝은 느낌이 있었으면 좋겠어. 나무 향과 보송한 분냄새도 은근히 원해.,synth,통과,floral|fresh|soapy|white floral|woody,Y,,,
깨끗한 계열,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,갓 세탁한 흰옷처럼 아주 깨끗한 향을 찾고 있어. 보송한 천과 살냄새가 섞이고 회사에서도 무난했으면 해.,synth,통과,fresh|musky|powdery|soapy,Y,,,
