expression,representative_expression,expression_type,query_count,query_ids,example_query_text,source_relation,source_term,source_families,source_sections,evidence_note
하늘을 올려다보고있는 듯,하늘을 올려다보고있는 듯,SCENE,1,UQ0080,바다에 누워서 가만히 하늘을 올려다보고있는 듯한 느낌의 향수,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
햇빛 받은 흰 셔츠,햇빛 받은 흰 셔츠,SCENE,1,UQ0161,햇빛 받은 흰 셔츠 같은 느낌하고 싶은데 시트러스는 싫어.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
햇살 내리쬐는 일본 여름,햇살 내리쬐는 일본 여름,SCENE,1,UQ0095,햇살 내리쬐는 일본 여름같은 향수,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
호수에 떠있는 연꽃,호수에 떠있는 연꽃,SCENE,1,UQ0068,장마철 호수에 떠있는 연꽃같은 느낌 원해,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
호텔 로비 같은,호텔 바,SCENE,1,UQ0115,호텔 로비 같은 고급스러운 향수 추천해줘,RELATED,호텔 바,Amber,한국 후기식 생활 비유,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
호텔 침구,깨끗한 침구,SCENE,1,UQ0162,호텔 침구 같은 깨끗함! 근데 세제 냄새처럼 인위적이면 싫어.,RELATED,깨끗한 침구,Soft Floral,한국 후기식 생활 비유,원천 표현과 명시 명사구 일부가 일치; 의미 동일성은 주장하지 않음
휴양지에 놀러갔을 때,휴양지에 놀러갔을 때,SCENE,1,UQ0081,휴양지에 놀러갔을 때 어울릴만한 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
과일냄새,과일냄새,SOURCE,1,UQ0076,산뜻하면서 과일냄새 나는 향수 사고싶어,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
꽃향,달콤한 꽃향,SOURCE,1,UQ0151,"꽃향은 좋은데, 화장품 냄새 같은 꽃향은 싫음.",RELATED,달콤한 꽃향|성숙한 꽃향,Floral Amber,꽃 쪽이 앞설 때,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
꿀 같은 향,꿀 같은,SOURCE,1,UQ0163,"나 꿀 같은 향은 좋아하는데, 너무 냄새가 강하지는 않았으면 좋겠어. 그런 향수 있을까?",RELATED,꿀 같은,Amber,당도 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
꿀 향,꿀 향,SOURCE,1,UQ0096,중성적이면서 살짝 꿀 향이 나는 향수 찾고있어,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
나무 냄새,나무 같은,SOURCE,1,UQ0011,나무 냄새 나는데 너무 절 냄새만 나면 안됨,RELATED,나무 같은|나무 책상,Woods,한국 후기식 생활 비유|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
딸기 향기,딸기 향기,SOURCE,1,UQ0169,"딸기 향기가 났으면 좋겠어. 달달한 거 말고, 진짜 싱싱한 딸기 향기 나는 향수 추천해줘.",NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
레몬 껍질 냄새,레몬 껍질,SOURCE,1,UQ0008,레몬 말고. 레몬 껍질 냄새나는 향수 있음?,RELATED,레몬 껍질,Citrus,한국 후기식 생활 비유,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
바닐라 향기,바닐라,SOURCE,1,UQ0005,난 바닐라 향기가 좋은데. 너무 단 건 싫어.,RELATED,바닐라,Amber,핵심 이미지,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
바다 냄새,바다 냄새 나는,SOURCE,1,UQ0006,바다 냄새 나는 향수가 있나? 가능함?,RELATED,바다 냄새 나는,Water,바다/마린 계열,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
바디스프레이,바디스프레이,SOURCE,1,UQ0069,땀 냄새랑 섞여도 안 이상한 거. 바디스프레이처럼 쓸 수 있는 거 필요함,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
바질,바질,SOURCE,1,UQ0168,바질 냄새 싫어. 바질 냄새 안나는 그린 계열 향수 추천 해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
베이비 파우더,베이비파우더,SOURCE,1,UQ0060,살같에서 날 것 같은 베이비 파우더 같은 거 가지고 싶어,MATCHED,베이비파우더,Soft Floral,한국 후기식 생활 비유,원천 문서 명시 표현/표기 변형과 정규화 일치
복숭아,복숭아,SOURCE,1,UQ0062,풍성한 복숭아!!! 나는 복숭아 밭한다!!! 할 정도로 복숭아 향나는 폭닥한거,MATCHED,복숭아,Fruity,핵심 이미지,원천 문서 명시 표현/표기 변형과 정규화 일치
비누 향,비누향,SOURCE,1,UQ0129,비누 향이나 세탁 건조기처럼 포근하고 깨끗한 향 나는 남자 향수 찾고 있어요,MATCHED,비누향,,원천 문서 table line 1611,원천 문서 명시 표현/표기 변형과 정규화 일치
사과,사과,SOURCE,1,UQ0165,사과랑 자스민 냄새 같이 나는 향수 없나? 있으면 좋겠는데.,MATCHED,사과,Fruity,핵심 이미지,원천 문서 명시 표현/표기 변형과 정규화 일치
살같에서 날 것 같은,살같에서 날 것 같은,SOURCE,1,UQ0060,살같에서 날 것 같은 베이비 파우더 같은 거 가지고 싶어,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
섬유유연제 향,섬유유연제,SOURCE,1,UQ0048,비누향이나 섬유유연제 향이 강하게 나는 향수 추천해줘,RELATED,섬유유연제,Soft Floral,한국 후기식 생활 비유,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
세제 잔뜩,세제 같은,SOURCE,1,UQ0063,쨍한 허브 비누향에 세제 잔뜩 쓴 것 같은 향 갖고 싶어,RELATED,세제 같은,Soft Floral,호불호·부정 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
싱싱한 딸기 향기,싱싱한 딸기 향기,SOURCE,1,UQ0169,"딸기 향기가 났으면 좋겠어. 달달한 거 말고, 진짜 싱싱한 딸기 향기 나는 향수 추천해줘.",NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
은은한 살냄새,은은한,SOURCE,1,UQ0066,자연스러운 향수 갖고싶음 은은한 살냄새 같은 걸로,RELATED,은은한,Floral|Soft Floral,원천 문서 line 1668|원천 문서 line 1683|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
자스민 냄새,자스민,SOURCE,1,UQ0165,사과랑 자스민 냄새 같이 나는 향수 없나? 있으면 좋겠는데.,RELATED,자스민,Floral,핵심 이미지,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
장미,장미,SOURCE,1,UQ0177,파우더리하고 장미느낌이 나는 옛날 향수는 어떤 있어?,MATCHED,장미,Floral,핵심 이미지,원천 문서 명시 표현/표기 변형과 정규화 일치
장미 꽃 향기,장미 꽃 향기,SOURCE,1,UQ0164,장미 꽃 향기는 좋은데 인위적인 향기는 아니었으면 좋겠음. 추천 좀,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
쨍한 허브 비누향,너무 쨍한,SOURCE,1,UQ0063,쨍한 허브 비누향에 세제 잔뜩 쓴 것 같은 향 갖고 싶어,RELATED,너무 쨍한|허브 같은,Aromatic Fougère|Citrus,핵심 형용사|호불호·부정 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
천연 향신료,천연 향신료,SOURCE,1,UQ0145,천연 향신료 사용하는 성분 좋은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
카라멜 향기,카라멜 향기,SOURCE,1,UQ0166,카라멜 향기 달달하게 났으면 좋겠어. 초코 향이면 안돼!!,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
코코넛 향기,코코넛 향기,SOURCE,1,UQ0013,코코넛 향기 나는데 머리 너무 안 아팠으면 좋겠음,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
홍차향,홍차향,SOURCE,1,UQ0054,홍차향 같은 향수도 있나? 근데 너무 음식같은 느낌 안 났으면 좋곘음,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
겨울 느낌,겨울 느낌,IMAGE,1,UQ0058,내 추구미 겨울 느낌나는 서늘한 여자임 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
고급스러운,고급스러운,IMAGE,1,UQ0115,호텔 로비 같은 고급스러운 향수 추천해줘,MATCHED,고급스러운,Amber|Floral|Woody Amber,이미지·분위기 표현|핵심 형용사|확장 형용사·감각어,원천 문서 명시 표현/표기 변형과 정규화 일치
공주,공주,IMAGE,1,UQ0010,"케이크 같으면서도, 너무 느끼하지 않고, 딱 맡았을 때 공주처럼 느껴지는 향수 그런 거 없음?",NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
귀엽고,귀엽고,IMAGE,1,UQ0083,귀엽고 산뜻한 20대 여자가 뿌리면 잘어울릴 향수 알려줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
담백,담백한,IMAGE,1,UQ0067,중성적인 향수 원해. 약간 담백하고 부드러운데 엣지있는거?,RELATED,담백한,Woods,베티버/시더 쪽|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
담백한 향수,담백한,IMAGE,1,UQ0175,미니멀하게 옷 입는 사람한테 어울리는 담백한 향수 추천해줘.,RELATED,담백한,Woods,베티버/시더 쪽|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
딱딱한,딱딱한,IMAGE,1,UQ0143,카리스마 있어보이는 딱딱한 향수 근데 여자걸로 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
릴랙싱,릴랙싱,IMAGE,1,UQ0073,첫 인상이 포근하고 릴랙싱한 향수를 가지고 싶어,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
서늘한 여자,서늘한,IMAGE,1,UQ0058,내 추구미 겨울 느낌나는 서늘한 여자임 추천해줘,RELATED,서늘한,Aromatic Fougère|Green|Mossy Woods|Water|Woods,모던 푸제르 쪽|베티버/시더 쪽|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
세련된,세련된,IMAGE,1,UQ0193,뭔가 깨끗하고 세련된 느낌이면 좋겠는데 정확히 어떤 향인지는 모르겠어.,MATCHED,세련된,Aromatic Fougère|Citrus|Mossy Woods,모던 푸제르 쪽|베르가못/자몽 계열|시프레 쪽 표현,원천 문서 명시 표현/표기 변형과 정규화 일치
세련된 향수,세련된,IMAGE,1,UQ0033,내가 20대 후반인데 너무 어려 보이지 않으면서 세련된 향수를 찾고 있어.,RELATED,세련된,Aromatic Fougère|Citrus|Mossy Woods,모던 푸제르 쪽|베르가못/자몽 계열|시프레 쪽 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
섹시한,섹시한,IMAGE,1,UQ0094,너무 흔하지 않으면서 섹시한 느낌의 향수 추천해줘,MATCHED,섹시한,Amber|Floral Amber,앰버 쪽이 앞설 때|이미지·분위기 표현,원천 문서 명시 표현/표기 변형과 정규화 일치
시크한,시크한,IMAGE,1,UQ0139,은은한 스모키함이나 가죽 향이 감도는 시크한 느낌의 남자 향수 찾아줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
어른스러운,어른스러운,IMAGE,1,UQ0057,대학교 들어가는데 좀 어른스러운 느낌의 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
어른스러운 느낌,어른스러운 느낌,IMAGE,1,UQ0017,어른스러운 느낌 나는 향수 가지고 싶다. 나는 34살 금융맨임.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
엄청 섹시한 느낌,섹시한,IMAGE,1,UQ0047,남자가 쓰기 좋은 엄청 섹시한 느낌의 향수 추천해줘,RELATED,섹시한,Amber|Floral Amber,앰버 쪽이 앞설 때|이미지·분위기 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
엣지있는,엣지있는,IMAGE,1,UQ0067,중성적인 향수 원해. 약간 담백하고 부드러운데 엣지있는거?,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
여성스러운,여성스러운,IMAGE,1,UQ0004,"여성스러운 향을 사고 싶은데, 너무 달콤한 건 싫어. 그런 향기가 있을까?",MATCHED,여성스러운,Floral|Fruity,복숭아/살구 계열|핵심 형용사,원천 문서 명시 표현/표기 변형과 정규화 일치
은근히 개성 있어 보이는 사람,은근히 개성 있어 보이는 사람,IMAGE,1,UQ0173,평소에는 조용한데 은근히 개성 있어 보이는 사람이 쓸 것 같은 향수 추천해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
자연스러운,자연스러운,IMAGE,1,UQ0066,자연스러운 향수 갖고싶음 은은한 살냄새 같은 걸로,MATCHED,자연스러운,Green|Woods,핵심 형용사,원천 문서 명시 표현/표기 변형과 정규화 일치
젊은 느낌,젊은 느낌,IMAGE,1,UQ0185,산타마리아노벨라 시향했는데 너무 올드하더라. 젊은 느낌으로 추천해줄래?,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
조용,조용,IMAGE,1,UQ0026,조용하고 차분한 사람에게 잘 어울릴 것 같은 향수를 추천해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
좋은 인상,인상·성별,IMAGE,1,UQ0025,소개팅할 때 부담스럽지 않으면서 좋은 인상을 줄 수 있는 향수 추천해줘.,RELATED,인상·성별,,원천 문서 line 1685,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
중성적,중성적인,IMAGE,1,UQ0096,중성적이면서 살짝 꿀 향이 나는 향수 찾고있어,RELATED,중성적인,,원천 문서 line 1685|원천 문서 table line 1613,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
차분한,차분한,IMAGE,1,UQ0026,조용하고 차분한 사람에게 잘 어울릴 것 같은 향수를 추천해줘.,MATCHED,차분한,Soft Amber|Woods,핵심 형용사|향조가 인센스 쪽으로 갈 때,원천 문서 명시 표현/표기 변형과 정규화 일치
카리스마,카리스마,IMAGE,1,UQ0143,카리스마 있어보이는 딱딱한 향수 근데 여자걸로 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
평소에는 조용한데,평소에는 조용한데,IMAGE,1,UQ0173,평소에는 조용한데 은근히 개성 있어 보이는 사람이 쓸 것 같은 향수 추천해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
향이 너무 좋아서 사람들이 다 돌아볼 것 같은,향이 너무 좋아서 사람들이 다 돌아볼 것 같은,IMAGE,1,UQ0082,뿌리고 슥 지나갔을 때 향이 너무 좋아서 사람들이 다 돌아볼 것 같은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
20대,20대,CONTEXT,1,UQ0083,귀엽고 산뜻한 20대 여자가 뿌리면 잘어울릴 향수 알려줘,MATCHED,20대,,원천 문서 line 1692,원천 문서 명시 표현/표기 변형과 정규화 일치
25살,25살,CONTEXT,1,UQ0024,나 25살 여잔데 이번에 회사 취직해서 나한테 선물할 겸 하나 사고 싶음! 어떤 게 좋을까???,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
30대 초반,30대 초반,CONTEXT,1,UQ0007,30대 초반 남자가 쓰기 좋은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
34살,34살,CONTEXT,1,UQ0017,어른스러운 느낌 나는 향수 가지고 싶다. 나는 34살 금융맨임.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
40대,40대,CONTEXT,1,UQ0084,40대 남성 데일리 향수 추천,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
가을,가을,CONTEXT,1,UQ0087,가을에 잘 어울리는 우디 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
강의실,강의실,CONTEXT,1,UQ0197,강의실에서 뿌려도 민폐 아닌 강도의 가벼운 향수 추천해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
금융맨,금융맨,CONTEXT,1,UQ0017,어른스러운 느낌 나는 향수 가지고 싶다. 나는 34살 금융맨임.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
나한테 선물,나한테 선물,CONTEXT,1,UQ0024,나 25살 여잔데 이번에 회사 취직해서 나한테 선물할 겸 하나 사고 싶음! 어떤 게 좋을까???,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
남성,남성,CONTEXT,1,UQ0084,40대 남성 데일리 향수 추천,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
남자친구,남자친구,CONTEXT,1,UQ0037,남자친구한테서 났으면 하는 향 찾아줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
남친한테 향수 선물,남친한테 향수 선물,CONTEXT,1,UQ0141,"남친한테 향수 선물할 건데, 제일 유명한 남자 향수로 5개 정도 추천해줘",NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
니치 향수 입문용,입문용,CONTEXT,1,UQ0118,니치 향수 입문용으로 추천해줄 만한 거 있어?,RELATED,입문용,,원천 문서 line 1691,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
대학교 들어가는데,대학교 들어가는데,CONTEXT,1,UQ0057,대학교 들어가는데 좀 어른스러운 느낌의 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
데이트,데이트 중인 여자친구,CONTEXT,1,UQ0090,데이트할 때 반응 좋은 향수 추천해줘,RELATED,데이트 중인 여자친구,Floral,한국 후기식 생활 비유,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
데일리 향수,데일리,CONTEXT,1,UQ0084,40대 남성 데일리 향수 추천,RELATED,데일리,,원천 문서 line 1692|원천 문서 table line 1623,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
데일리로 쓰기 좋은,데일리한,CONTEXT,1,UQ0086,봄에 데일리로 쓰기 좋은 향수 추천해줘,RELATED,데일리한,,원천 문서 line 1683,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
매일,매일,CONTEXT,1,UQ0039,출근할때 매일 막 뿌릴 수 있는거,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
매일 사용,매일 사용,CONTEXT,1,UQ0028,회사에서 매일 사용해도 부담 없는 깔끔한 향수 추천해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
면세점에서 사기 좋은,면세점에서 사기 좋은,CONTEXT,1,UQ0044,면세점에서 사기 좋은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
면접,면접,CONTEXT,1,UQ0036,면접 갈 때 향수 뿌려도 됨? 뿌린다면 뭐가 좋아,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
미니멀하게 옷 입는 사람,미니멀하게 옷 입는 사람,CONTEXT,1,UQ0175,미니멀하게 옷 입는 사람한테 어울리는 담백한 향수 추천해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
밀폐된 공간,밀폐된 공간,CONTEXT,1,UQ0142,밀폐된 공간에서 써도 안 어지러울만한 거 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
사계절,사계절,CONTEXT,1,UQ0038,향수 하나만 사서 사계절 내내 쓰고 싶은데 가능?,MATCHED,사계절,,원천 문서 line 1692|원천 문서 table line 1623,원천 문서 명시 표현/표기 변형과 정규화 일치
사계절용,사계절,CONTEXT,1,UQ0104,향수 하나만 산다면 사계절용으로 뭐가 좋아?,RELATED,사계절,,원천 문서 line 1692|원천 문서 table line 1623,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
사람 많은 곳,사람 많은 곳,CONTEXT,1,UQ0030,사람 많은 곳에서도 너무 강하게 느껴지지 않는 은은한 향수를 추천해줘.,NOT_FOUND,,,,동형 표현의 문맥 오탐을 제외한 뒤 원천 근거를 찾지 못함
사무실,사무실,CONTEXT,1,UQ0182,겨울용 무거운 향인데 사무실에서도 부담없이 사용할 수 있는 향수 알려줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
선물,선물,CONTEXT,1,UQ0122,결혼하는 사람한테 선물해줄 향수는 뭐가 있을까?,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
선물하기 실패 확률 낮은 향수,선물하기 실패 확률 낮은 향수,CONTEXT,1,UQ0174,상대방 취향을 전혀 모르는데 선물하기 실패 확률 낮은 향수 추천해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
스트릿룩이랑 어울리는,스트릿룩이랑 어울리는,CONTEXT,1,UQ0103,평소에 스트릿룩 많이 입는데 스트릿룩이랑 어울리는 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
실내에서만 있는 직업,실내에서만 있는 직업,CONTEXT,1,UQ0176,실내에서만 있는 직업인데 답답하지 않은 향 추천해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
아빠 선물용,아빠 선물용,CONTEXT,1,UQ0102,아빠 선물용으로 실패 확률 낮은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
여성,여성,CONTEXT,1,UQ0074,비 오는 날에 뿌릴 만한 30대 여성 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
여자친구 선물,여자친구 선물,CONTEXT,1,UQ0128,호불호 안 갈리는 여자친구 선물용 향수 추천,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
여친한테 점수 딸만한,여친한테 점수 딸만한,CONTEXT,1,UQ0018,여자친구가 생겼는데 여친한테 점수 딸만한 향기 없나...?,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
오늘,오늘,CONTEXT,1,UQ0046,오늘 뿌리기 좋은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
올리브영이나 백화점,백화점 향수 냄새 같은,CONTEXT,1,UQ0124,요즘 올리브영이나 백화점에서 가장 핫하고 인기 많은 여자 향수 알려줘.,RELATED,백화점 향수 냄새 같은,Floral,호불호·부정 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
옷에 향수,옷에 뿌리는 게 나은,CONTEXT,1,UQ0019,옷에 향수 뿌리고 싶어. 아무거나 추천 해줘.,RELATED,옷에 뿌리는 게 나은,,원천 문서 line 1689,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
운동하고 뿌리면 좋을,운동하고 뿌리면 좋을,CONTEXT,1,UQ0123,운동하고 뿌리면 좋을 남자 향수가 필요해,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
입문용,입문용,CONTEXT,1,UQ0187,아이리스가 세련됐다던데 입문용으로 괜찮은 거 있어?,MATCHED,입문용,,원천 문서 line 1691,원천 문서 명시 표현/표기 변형과 정규화 일치
정장차림,정장차림,CONTEXT,1,UQ0178,30대 남자의 정장차림에 어울리는 지속력 좋은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
중요한 공식석상,중요한 공식석상,CONTEXT,1,UQ0075,회사나 중요한 공식석상에서 뿌리기 적합한 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
출근,출근,CONTEXT,1,UQ0088,출근할 때 부담 없이 뿌릴 수 있는 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
출근할때,출근할때,CONTEXT,1,UQ0039,출근할때 매일 막 뿌릴 수 있는거,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
향수 입문용,입문용,CONTEXT,1,UQ0051,향수 입문용으로 조말론이나 메종 마르지엘라는 어때?,RELATED,입문용,,원천 문서 line 1691,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
헬스장,헬스장,CONTEXT,1,UQ0045,헬스장에서 반응 좋은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
헬스장용,헬스장용,CONTEXT,1,UQ0198,헬스장용인데 땀이랑 안 겹치고 저렴한 향수를 추천받고 싶어.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
회사 취직,회사 취직,CONTEXT,1,UQ0024,나 25살 여잔데 이번에 회사 취직해서 나한테 선물할 겸 하나 사고 싶음! 어떤 게 좋을까???,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
가벼운,가벼운,PERFORMANCE,1,UQ0197,강의실에서 뿌려도 민폐 아닌 강도의 가벼운 향수 추천해줘.,MATCHED,가벼운,Aromatic Fougère|Citrus|Floral|Water,깨끗한 워터 계열|네롤리/쁘띠그레인/오렌지블라섬 계열 — 신설|맑은 플로럴/뮤게/프리지아 쪽|모던 푸제르 쪽|핵심 형용사|확장 형용사·감각어,원천 문서 명시 표현/표기 변형과 정규화 일치
