term,candidate_term,source_org,source_title,source_url,source_type,evidence_type,evidence_summary,supports_relation,retrieved_at
Powdery Notes,Powdery,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,DESCRIPTOR_CANONICALIZATION,"IFRA's Powdery entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: Powdery fragrance ingredients are from a larger complex group that impart a warm, sometimes sweet or musky powdery smell.",SAME_CONCEPT,2026-09-01
Frankincense,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Frankincense'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Ylang Ylang,"Ylang ylang absolute | Ylang ylang oil | Ylang ylang oil (low para cresol methylether) | Ylang ylang oil extra | Ylang ylang oil I | Ylang ylang oil II | Ylang ylang oil III | Ylang ylang oil, rectified",IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 8 directly retrieved material-form candidate(s) for the note base, including: Ylang ylang absolute, Ylang ylang oil, Ylang ylang oil (low para cresol methylether), Ylang ylang oil extra, Ylang ylang oil I. This supports FAMILY only.",FAMILY,2026-09-01
Red Berries,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Red Berries'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Styrax,"Styrax absolute | Styrax absolute (low sytrene) | Styrax absolute, Honduras | Styrax distillate | Styrax essence pyrogenated | Styrax extract | Styrax oil | Styrax oil, Honduras",IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 8 directly retrieved material-form candidate(s) for the note base, including: Styrax absolute, Styrax absolute (low sytrene), Styrax absolute, Honduras, Styrax distillate, Styrax essence pyrogenated. This supports FAMILY only.",FAMILY,2026-09-01
Lilac,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Lilac'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Madagascar Vanilla,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Madagascar Vanilla'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Birch,"Birch tar oil, rectified",IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 1 directly retrieved material-form candidate(s) for the note base, including: Birch tar oil, rectified. This supports FAMILY only.",FAMILY,2026-09-01
Blackberry,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Blackberry'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Anise,Anise seed oil,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 1 directly retrieved material-form candidate(s) for the note base, including: Anise seed oil. This supports FAMILY only.",FAMILY,2026-09-01
Civet,Civet absolute | Civet tincture,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 2 directly retrieved material-form candidate(s) for the note base, including: Civet absolute, Civet tincture. This supports FAMILY only.",FAMILY,2026-09-01
Amalfi Lemon,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Amalfi Lemon'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Green Tea,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Green Tea'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Juniper Berries,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Juniper Berries'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Cacao,Cacao absolute | Cacao extract | Cacao oil,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 3 directly retrieved material-form candidate(s) for the note base, including: Cacao absolute, Cacao extract, Cacao oil. This supports FAMILY only.",FAMILY,2026-09-01
Blood Orange,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Blood Orange'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Agarwood,"Agarwood extract | Agarwood extract, Vietnamese | Agarwood oil | Agarwood oil, Indonesia | Agarwood oil, Vietnamese",IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 5 directly retrieved material-form candidate(s) for the note base, including: Agarwood extract, Agarwood extract, Vietnamese, Agarwood oil, Agarwood oil, Indonesia, Agarwood oil, Vietnamese. This supports FAMILY only.",FAMILY,2026-09-01
Palisander Rosewood,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Palisander Rosewood'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Smoke,Smoky,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,DESCRIPTOR_CANONICALIZATION,"IFRA's Smoky entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: These ingredients have a smoked or phenolic quality, reminding you of the smell from a bonfire or the smell of food burning.",SAME_CONCEPT,2026-09-01
Yuzu,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Yuzu'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Sweet Notes,Sweet,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,DESCRIPTOR_CANONICALIZATION,"IFRA applies the descriptor 'Sweet' to 351 ingredient rows; the source term differs only by notes-label, plural, spacing, or hyphen form.",SAME_CONCEPT,2026-09-01
Haitian Vetiver,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Haitian Vetiver'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Cypriol Oil or Nagarmotha,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Cypriol Oil or Nagarmotha'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Ambrette (Musk Mallow),,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Ambrette (Musk Mallow)'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Water Lily,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Water Lily'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Green Leaves,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Green Leaves'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Ozonic notes,Ozonic,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,DESCRIPTOR_CANONICALIZATION,"IFRA's Ozonic entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: Ozonic notes are fresh-smelling materials that don’t have a more specific note but may remind you of a fresh windy day. Sometimes they have a weak, almost chlorine-like smell.",SAME_CONCEPT,2026-09-01
Bourbon Vanilla,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Bourbon Vanilla'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Castoreum,Castoreum absolute | Castoreum concrete | Castoreum extract | Castoreum resinoid | Castoreum tincture,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 5 directly retrieved material-form candidate(s) for the note base, including: Castoreum absolute, Castoreum concrete, Castoreum extract, Castoreum resinoid, Castoreum tincture. This supports FAMILY only.",FAMILY,2026-09-01
Ambrette,Ambrette tincture,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 1 directly retrieved material-form candidate(s) for the note base, including: Ambrette tincture. This supports FAMILY only.",FAMILY,2026-09-01
Red Apple,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Red Apple'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Calabrian bergamot,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Calabrian bergamot'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
oak moss,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'oak moss'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Opoponax,Opoponax absolute | Opoponax CO2 extract | Opoponax extract | Opoponax oil | Opoponax resinoid,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 5 directly retrieved material-form candidate(s) for the note base, including: Opoponax absolute, Opoponax CO2 extract, Opoponax extract, Opoponax oil, Opoponax resinoid. This supports FAMILY only.",FAMILY,2026-09-01
Peru Balsam,Peru balsam distillate,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 1 directly retrieved material-form candidate(s) for the note base, including: Peru balsam distillate. This supports FAMILY only.",FAMILY,2026-09-01
Watery Notes,Watery,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,DESCRIPTOR_CANONICALIZATION,"IFRA applies the descriptor 'Watery' to 8 ingredient rows; the source term differs only by notes-label, plural, spacing, or hyphen form.",SAME_CONCEPT,2026-09-01
Water Notes,Watery,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,DESCRIPTOR_RELATION,"IFRA uses 'Watery' as a descriptor on 8 ingredient rows, but does not state that 'Water Notes' is an official synonym or identical note concept.",RELATED,2026-09-01
Herbal Notes,Herbal,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,DESCRIPTOR_CANONICALIZATION,"IFRA's Herbal entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: Herbal notes include culinary herbs (e.g. thyme, rosemary) that often have a green note and impart fresh nuances to a complex fragrance.",SAME_CONCEPT,2026-09-01
Star Anise,Star anise CO2 extract | Star anise extract | Star anise oil | Star anise oil terpeneless | Star anise oil terpenes,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 5 directly retrieved material-form candidate(s) for the note base, including: Star anise CO2 extract, Star anise extract, Star anise oil, Star anise oil terpeneless, Star anise oil terpenes. This supports FAMILY only.",FAMILY,2026-09-01
Resins,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Resins'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Hazelnut,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Hazelnut'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Salt,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Salt'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Red Fruits,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Red Fruits'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Black Tea,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Black Tea'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Davana,Davana oil,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 1 directly retrieved material-form candidate(s) for the note base, including: Davana oil. This supports FAMILY only.",FAMILY,2026-09-01
Tolu Balsam,"Tolu, balsam, extract | Tolu, balsam, resinoid",IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 2 directly retrieved material-form candidate(s) for the note base, including: Tolu, balsam, extract, Tolu, balsam, resinoid. This supports FAMILY only.",FAMILY,2026-09-01
Immortelle,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Immortelle'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Whipped Cream,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Whipped Cream'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Angelica,Angelica root oil | Angelica seed absolute | Angelica seed extract | Angelica seed oil,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 4 directly retrieved material-form candidate(s) for the note base, including: Angelica root oil, Angelica seed absolute, Angelica seed extract, Angelica seed oil. This supports FAMILY only.",FAMILY,2026-09-01
African Orange Flower,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'African Orange Flower'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Pomegranate,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Pomegranate'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Fir,Fir absolute,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 1 directly retrieved material-form candidate(s) for the note base, including: Fir absolute. This supports FAMILY only.",FAMILY,2026-09-01
Citron,"Citron oil | Citron oil, rectified",IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 2 directly retrieved material-form candidate(s) for the note base, including: Citron oil, Citron oil, rectified. This supports FAMILY only.",FAMILY,2026-09-01
Sicilian Lemon,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Sicilian Lemon'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Grass,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Grass'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Fruits,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Fruits'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Cognac,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Cognac'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Atlas Cedar,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Atlas Cedar'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Papyrus,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Papyrus'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Marshmallow,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Marshmallow'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Flowers,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Flowers'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Sea water,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Sea water'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Brazilian Rosewood,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Brazilian Rosewood'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
White Amber,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'White Amber'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Pink Grapefruit,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Pink Grapefruit'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Sweet Orange,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Sweet Orange'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Balsam Fir,Balsam fir oleoresin,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 1 directly retrieved material-form candidate(s) for the note base, including: Balsam fir oleoresin. This supports FAMILY only.",FAMILY,2026-09-01
Fig Leaf,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Fig Leaf'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Amyris,"Amyris oil | Amyris oil, acetylated | Amyris oil, rectified",IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 3 directly retrieved material-form candidate(s) for the note base, including: Amyris oil, Amyris oil, acetylated, Amyris oil, rectified. This supports FAMILY only.",FAMILY,2026-09-01
Tiare Flower,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Tiare Flower'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Sea Salt,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Sea Salt'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
Dark Chocolate,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Dark Chocolate'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01
