entry_id,expression,aliases,expression_type,target_field,candidate_type,candidate_name,rank,required,match_condition,rationale,evidence_tier,corpus_support,standardness,status,source_query_ids,source_type,verification_status,relation_type
kr.source.honey_syrup,당밀,당밀|시럽,SOURCE,STAGE2_BRIDGE,ACCORD,sweet,1,core,,"팀 문서 Amber 장 당도 표현의 `꿀 같은`·`잼 같은`·`시럽 같은` 이다. honey(3,467개) accord 가 따로 있으나 좁아서 sweet 으로 보낸다. `캐러멜` 은 기존 kr.dial.sweet 이 caramel 을 core 로 갖고 있어 그쪽 별칭에 넣었다",TEAM,60625.0,standard,candidate,,TEAM_DOC,UNMEASURED,EVOKES
kr.source.ripe_fruit,과육,과육|잘 익은|풋풋|말캉|과숙|탱글|즙 많|잘익은|잘 익어|잘 익고,SOURCE,STAGE2_BRIDGE,ACCORD,fruity,1,core,,팀 문서 Fruity 장 핵심 형용사·과육 표현이다. `귀여운`·`발랄한`·`사랑스러운` 은 향이 아니라 인상을 가리켜 뺐다,TEAM,43222.0,standard,candidate,,TEAM_DOC,UNMEASURED,EVOKES
kr.source.grass,풀 냄새,생 풀|생풀|수액|잎사귀|젖은 잎|젖은잎|풀 냄새|풀 향|풀냄새|풀향,SOURCE,STAGE2_BRIDGE,ACCORD,green,1,core,,팀 문서 Green 장 핵심 형용사·생풀/잎 쪽이다. `알싸한` 은 향신료 쪽이라 뺐다. `풀` 단독은 `풀다`·`풀어` 에 걸릴 수 있어 `풀 냄새`·`풀향` 으로 좁혔다,TEAM,29755.0,standard,candidate,,TEAM_DOC,UNMEASURED,EVOKES
kr.nomap.feminine,여성스러운,여성스러운|feminine|여성적인|여성스러워,IMAGE,NO_MAPPING,,,1,,,"레퍼런스 조사 Q4(향이 아닌 표현은 accord 로 억지 매핑하지 않는다)와 기존 `섹시한` 선례(이미지 표현·stereotype 수렴 우려, 파일럿 계획 §11)를 따른다. 48번 측정 — 회피 문구지만 사전·accord 이름 어디에도 안 닿았다.",LLM,,standard,candidate,B-72796-3,LLM_PROPOSAL,NOT_APPLICABLE,NOT_RELATED
kr.nomap.cute,귀여운,귀여운|cute|귀여워|귀여움,IMAGE,NO_MAPPING,,,1,,,레퍼런스 조사 Q4·`섹시한` 선례와 같은 이유. 48번 측정 — 회피 문구지만 사전·accord 이름 어디에도 안 닿았다.,LLM,,standard,candidate,B-64679-1,LLM_PROPOSAL,NOT_APPLICABLE,NOT_RELATED
kr.nomap.classic,클래식한,클래식한|classic|고전적인,IMAGE,NO_MAPPING,,,1,,,레퍼런스 조사 Q4·`섹시한` 선례와 같은 이유. 48번 측정 — 회피 문구지만 사전·accord 이름 어디에도 안 닿았다.,LLM,,standard,candidate,A-12109-3,LLM_PROPOSAL,NOT_APPLICABLE,NOT_RELATED
kr.nomap.young,어린 느낌,어린 느낌|어린 분위기|young|too young feel|girl-like|유치한,IMAGE,NO_MAPPING,,,1,,,레퍼런스 조사 Q4·`섹시한` 선례와 같은 이유. 48번 측정 — 영어·한국어 네 가지 표기로 회피 문구 4회 등장했지만 어디에도 안 닿았다. [54] 표면형 `어린` 이 `어린이`·`물기 어린` 까지 잡아 `어린 느낌`·`어린 분위기` 로 좁혔다. 평가셋 600문장에서 오탐 1건 확인.,LLM,,standard,candidate,B-1158-2|B-6693-2|B-56098-3|B-66933-2,LLM_PROPOSAL,NOT_APPLICABLE,NOT_RELATED
kr.sens.flashy,화려한,화려한|화려하고|화려함|flashy|showy|화려하게|화려해,SENSORY,STAGE2_BRIDGE,ACCORD,tuberose,1,optional,,[50] ai_summary 배수 1.92x (해당군 33건 · CI하한 1.29). 통제군 최대 배수 1.38 을 넘는다. N4 와 같은 방법·같은 문턱(1.5)으로 쟀고 단일 측정이라 core 가 아닌 optional 로 넣는다. 다만 검색어 `loud` 가 `cloud`·`aloud` 에도 걸리고 accord `oud` 를 부분 문자열로 품어 순환 경고가 났다. 해당군 437건에 잡음이 섞였을 수 있어 다른 항목보다 약하게 읽어야 한다.,LLM,3931.0,standard,candidate,,LLM_PROPOSAL,CORPUS_SUPPORTED,ASSOCIATED_WITH
kr.sens.synthetic,인공적인,인공적인|인공적|인공적이고|artificial|synthetic,SENSORY,STAGE2_BRIDGE,ACCORD,sour,1,optional,,[50] ai_summary 배수 1.64x (해당군 59건 · CI하한 1.23). 통제군 최대 배수 1.38 을 넘는다. N4 와 같은 방법·같은 문턱(1.5)으로 쟀고 단일 측정이라 core 가 아닌 optional 로 넣는다.,LLM,1912.0,standard,candidate,,LLM_PROPOSAL,CORPUS_SUPPORTED,ASSOCIATED_WITH
kr.sens.common,흔한,흔한|흔하고|평범한|평범하고|ordinary|common|흔하게|흔해|흔함,SENSORY,STAGE2_BRIDGE,ACCORD,aquatic,1,optional,,[50] ai_summary 배수 1.56x (해당군 283건 · CI하한 1.39). 통제군 최대 배수 1.38 을 넘는다. N4 와 같은 방법·같은 문턱(1.5)으로 쟀고 단일 측정이라 core 가 아닌 optional 로 넣는다. 의미가 가까운 `무난한` 은 N4 에서 최대 배수 1.30(통제군 수준)으로 `NO_MAPPING` 판정을 받았다. 유추로는 같은 결과를 예상했으나 측정은 달랐다 — 두 표현을 같이 묶지 않는다.,LLM,8872.0,standard,candidate,,LLM_PROPOSAL,CORPUS_SUPPORTED,ASSOCIATED_WITH
kr.sens.common,흔한,흔한|흔하고|평범한|평범하고|ordinary|common|흔하게|흔해|흔함,SENSORY,STAGE2_BRIDGE,ACCORD,marine,1,optional,,[50] ai_summary 배수 1.54x (해당군 141건 · CI하한 1.29). 통제군 최대 배수 1.38 을 넘는다. N4 와 같은 방법·같은 문턱(1.5)으로 쟀고 단일 측정이라 core 가 아닌 optional 로 넣는다. 의미가 가까운 `무난한` 은 N4 에서 최대 배수 1.30(통제군 수준)으로 `NO_MAPPING` 판정을 받았다. 유추로는 같은 결과를 예상했으나 측정은 달랐다 — 두 표현을 같이 묶지 않는다.,LLM,4326.0,standard,candidate,,LLM_PROPOSAL,CORPUS_SUPPORTED,ASSOCIATED_WITH
kr.sens.common,흔한,흔한|흔하고|평범한|평범하고|ordinary|common|흔하게|흔해|흔함,SENSORY,STAGE2_BRIDGE,ACCORD,salty,1,optional,,[50] ai_summary 배수 1.52x (해당군 95건 · CI하한 1.22). 통제군 최대 배수 1.38 을 넘는다. N4 와 같은 방법·같은 문턱(1.5)으로 쟀고 단일 측정이라 core 가 아닌 optional 로 넣는다. 의미가 가까운 `무난한` 은 N4 에서 최대 배수 1.30(통제군 수준)으로 `NO_MAPPING` 판정을 받았다. 유추로는 같은 결과를 예상했으나 측정은 달랐다 — 두 표현을 같이 묶지 않는다.,LLM,2520.0,standard,candidate,,LLM_PROPOSAL,CORPUS_SUPPORTED,ASSOCIATED_WITH
kr.sens.complex,복잡하게 변하는 향,복잡하게 변하는|복잡하게 바뀌는|complex|복잡하게 변해|복잡하게 변하고|복잡하게 바뀌어|복잡하게 바뀌고,SENSORY,STAGE2_BRIDGE,ACCORD,whiskey,1,optional,,[50] ai_summary 배수 1.75x (해당군 42건 · CI하한 1.23). 통제군 최대 배수 1.38 을 넘는다. N4 와 같은 방법·같은 문턱(1.5)으로 쟀고 단일 측정이라 core 가 아닌 optional 로 넣는다.,LLM,808.0,standard,candidate,,LLM_PROPOSAL,CORPUS_SUPPORTED,ASSOCIATED_WITH
kr.scene.laundry.short,빨래,빨래|세탁,SOURCE,STAGE2_BRIDGE,ACCORD,soapy,1,core,"query_contains:향,냄새,느낌",팀 문서의 생활 비유에 '햇빛에 바싹 말린 빨래' 가 있고 청결감 축에 '세탁한 듯한' 이 있다. 비누 계열이 이 인상의 중심이다. [30] ai_summary 배수 4.50x·1위로 지지됨. [39] 배수 4.50 · 1위로 문턱 1.4 통과 [80] 짧은 표면형이 다른 낱말 안에 박히는 오탐을 막으려고 kr.scene.laundry 에서 분리해 문맥 조건을 걸었다.,TEAM,1720.0,standard,candidate,,TEAM_DOC,CORPUS_SUPPORTED,EVOKES
kr.scene.laundry.short,빨래,빨래|세탁,SOURCE,STAGE2_BRIDGE,ACCORD,fresh,2,core,"query_contains:향,냄새,느낌",같은 축이 '뽀송한' 을 함께 두고 있다. 마른 빨래의 가볍고 개운한 쪽이다. [30] ai_summary 배수 1.77x·5위(순환)로 지지됨. [39] 검색어가 accord 이름과 같아 신호로 읽지 않음 [80] 짧은 표면형이 다른 낱말 안에 박히는 오탐을 막으려고 kr.scene.laundry 에서 분리해 문맥 조건을 걸었다.,TEAM,33478.0,standard,candidate,,TEAM_DOC,CIRCULAR_UNTESTABLE,EVOKES
kr.scene.bedding.short,이불,이불,SOURCE,STAGE2_BRIDGE,ACCORD,powdery,1,core,"query_contains:향,냄새,느낌",팀 문서의 생활 비유에 '코튼 이불' 과 '깨끗한 침구' 가 있다. 보드라운 천의 인상이 파우더리한 질감으로 나타난다. [30] ai_summary 배수 1.57x·2위. [39] 배수 1.57 · 2위로 문턱 1.4 통과 [80] 짧은 표면형이 다른 낱말 안에 박히는 오탐을 막으려고 kr.scene.bedding 에서 분리해 문맥 조건을 걸었다.,TEAM,62885.0,standard,candidate,,TEAM_DOC,CORPUS_SUPPORTED,EVOKES
kr.scene.bedding.short,이불,이불,SOURCE,STAGE2_BRIDGE,ACCORD,soapy,2,core,"query_contains:향,냄새,느낌",'깨끗한 침구' 는 세탁된 상태를 말하므로 청결감 축의 비누 계열이 함께 걸린다. [30] ai_summary 배수 해당군 112개 중 2개. 2개로 계산한 배수는 의미가 없다. 지지도 반증도 아니다 → 판정하지 않는다. [39] 재계산(측정기록11) — 표본 부족 — 해당군 112개 중 보유 2개. 배수가 의미 없다. 측정 불가는 반증이 아니므로 강등하지 않는다 [80] 짧은 표면형이 다른 낱말 안에 박히는 오탐을 막으려고 kr.scene.bedding 에서 분리해 문맥 조건을 걸었다.,TEAM,1720.0,standard,candidate,,TEAM_DOC,INSUFFICIENT_SAMPLE,EVOKES
kr.source.wood.short,산림,산림,SOURCE,STAGE2_BRIDGE,ACCORD,woody,1,core,"query_contains:향,냄새,느낌",팀 문서 Woods 장 핵심 형용사에 '나무 같은'·'우디한' 이 있고 목재 질감 표현에 '연필심 같은'·'톱밥 같은'·'목재 가구 같은' 이 있다. 직역 대응이라 추론 단계가 없다 [80] 짧은 표면형이 다른 낱말 안에 박히는 오탐을 막으려고 kr.source.wood 에서 분리해 문맥 조건을 걸었다.,TEAM,81432.0,standard,candidate,,TEAM_DOC,UNMEASURED,EVOKES
kr.source.skin_powder.short,분내,분내,SOURCE,STAGE2_BRIDGE,ACCORD,musky,1,core,"query_contains:향,냄새,느낌",팀 문서 Soft Floral 장 '머스크/아이리스가 강할 때' 절에 '분내 나는'·'살냄새 같은'·'아기분 같은'·'로션 같은'·'코튼 같은' 이 있다 [80] 짧은 표면형이 다른 낱말 안에 박히는 오탐을 막으려고 kr.source.skin_powder 에서 분리해 문맥 조건을 걸었다.,TEAM,41154.0,standard,candidate,,TEAM_DOC,UNMEASURED,EVOKES
kr.source.skin_powder.short,분내,분내,SOURCE,STAGE2_BRIDGE,ACCORD,powdery,2,core,"query_contains:향,냄새,느낌",짝 accord (spec §4.3 규칙 ①). 측정기록 2번 — musky 보유 향수의 70.9% 가 powdery 를 함께 갖는다. 같은 절이 아이리스(분내)를 함께 다루므로 의미도 맞는다. soapy 를 쓰지 않은 이유는 musky∩soapy 가 400개뿐이라 너무 좁기 때문이다 [80] 짧은 표면형이 다른 낱말 안에 박히는 오탐을 막으려고 kr.source.skin_powder 에서 분리해 문맥 조건을 걸었다.,TEAM,62885.0,standard,candidate,,TEAM_DOC,UNMEASURED,EVOKES
kr.source.honey_syrup.short,꿀,꿀|잼,SOURCE,STAGE2_BRIDGE,ACCORD,sweet,1,core,"query_contains:향,냄새,느낌","팀 문서 Amber 장 당도 표현의 `꿀 같은`·`잼 같은`·`시럽 같은` 이다. honey(3,467개) accord 가 따로 있으나 좁아서 sweet 으로 보낸다. `캐러멜` 은 기존 kr.dial.sweet 이 caramel 을 core 로 갖고 있어 그쪽 별칭에 넣었다 [80] 짧은 표면형이 다른 낱말 안에 박히는 오탐을 막으려고 kr.source.honey_syrup 에서 분리해 문맥 조건을 걸었다.",TEAM,60625.0,standard,candidate,,TEAM_DOC,UNMEASURED,EVOKES
kr.source.grass.short,잔디,잔디|초록,SOURCE,STAGE2_BRIDGE,ACCORD,green,1,core,"query_contains:향,냄새,느낌",팀 문서 Green 장 핵심 형용사·생풀/잎 쪽이다. `알싸한` 은 향신료 쪽이라 뺐다. `풀` 단독은 `풀다`·`풀어` 에 걸릴 수 있어 `풀 냄새`·`풀향` 으로 좁혔다 [80] 짧은 표면형이 다른 낱말 안에 박히는 오탐을 막으려고 kr.source.grass 에서 분리해 문맥 조건을 걸었다.,TEAM,29755.0,standard,candidate,,TEAM_DOC,UNMEASURED,EVOKES
