term,term_type,canonical_term,relation_type,parent_term,iframapped_term,decision,confidence,evidence_count,notes,version
Balsam Fir,NOTE,Balsam Fir,FAMILY,,Balsam fir oleoresin,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"STAGE17_MATERIAL_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Fig Leaf,NOTE,Fig Leaf,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Amyris,NOTE,Amyris,FAMILY,,"Amyris oil | Amyris oil, acetylated | Amyris oil, rectified",MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Tiare Flower,NOTE,Tiare Flower,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Sea Salt,NOTE,Sea Salt,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Dark Chocolate,NOTE,Dark Chocolate,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Mate,NOTE,Mate,FAMILY,,Mate absolute | Mate extract | Mate oil,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Bay Leaf,NOTE,Bay Leaf,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Precious Woods,NOTE,Precious Woods,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Egyptian Jasmine,NOTE,Egyptian Jasmine,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Cotton Candy,NOTE,Cotton Candy,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Beeswax,NOTE,Beeswax,FAMILY,,Beeswax absolute | Beeswax CO2 extract | Beeswax concrete | Beeswax resinoid,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Marine notes,NOTE,Marine,SAME_CONCEPT,,Marine,CONFIRMED_CANONICALIZATION,HIGH,1,NOTES_SUFFIX_DESCRIPTOR: official evidence supports a canonical term-level equivalence.,v0.2
Hedione,NOTE,Hedione,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Bitter Almond,NOTE,Bitter Almond,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
White Woods,NOTE,White Woods,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Green Mandarin,NOTE,Green Mandarin,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
May Rose,NOTE,May Rose,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Bamboo,NOTE,Bamboo,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Sandalowood,NOTE,Sandalowood,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Cypriol,NOTE,Cypriol,FAMILY,,"Cypriol oil | Cypriol oil, rectified",MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Iso E Super,NOTE,Iso E Super,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Pomelo,NOTE,Pomelo,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
White Rose,NOTE,White Rose,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Violet Leaves,NOTE,Violet Leaves,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Pistachio,NOTE,Pistachio,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Hibiscus,NOTE,Hibiscus,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Brown sugar,NOTE,Brown sugar,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Red Currant,NOTE,Red Currant,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Wormwood,NOTE,Wormwood,FAMILY,,"Wormwood oil | Wormwood oil, terpeneless",MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Lemon Verbena,NOTE,Lemon Verbena,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Nectarine,NOTE,Nectarine,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Resin,NOTE,Resin,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Solar Notes,NOTE,Solar Notes,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Lychee,NOTE,Lychee,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Dried Fruits,NOTE,Dried-Fruit,SAME_CONCEPT,,Dried-Fruit,CONFIRMED_CANONICALIZATION,HIGH,1,PLURAL_DESCRIPTOR: official evidence supports a canonical term-level equivalence.,v0.2
Clementine,NOTE,Clementine,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Driftwood,NOTE,Driftwood,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Sichuan Pepper,NOTE,Sichuan Pepper,FAMILY,,Sichuan pepper CO2 extract,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Indonesian Patchouli Leaf,NOTE,Indonesian Patchouli Leaf,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
